day_of_year,day_of_week,is_holiday,avg_temp,precip,cloud,humidity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
302,7,1,4.4,1.6,0.53,0.84,0.316,0.328,0.334,0.337,0.317,0.346,0.554,0.516,0.513,0.522,0.405,0.411,0.411,0.444,0.411,0.395,0.426,0.557,0.578,0.576,0.542,0.394,0.353,0.388
303,1,0,3.7,0.0,0.71,0.8,0.328,0.329,0.325,0.367,0.343,0.369,0.518,0.497,0.497,0.49,0.421,0.44,0.446,0.401,0.422,0.439,0.442,0.532,0.516,0.556,0.542,0.395,0.369,0.398
304,2,0,2.6,0.7,0.47,0.72,0.423,0.391,0.384,0.421,0.395,0.391,0.606,0.601,0.626,0.583,0.49,0.501,0.481,0.501,0.47,0.512,0.501,0.647,0.614,0.64,0.672,0.414,0.436,0.401
305,3,0,4.8,1.0,0.85,0.62,0.288,0.275,0.308,0.289,0.254,0.279,0.421,0.42,0.41,0.418,0.348,0.33,0.374,0.338,0.331,0.333,0.343,0.478,0.427,0.483,0.435,0.267,0.361,0.33
306,4,0,4.2,0.3,0.71,0.93,0.41,0.39,0.431,0.408,0.372,0.394,0.606,0.625,0.61,0.63,0.539,0.522,0.505,0.508,0.513,0.541,0.501,0.662,0.645,0.639,0.683,0.489,0.446,0.445
307,5,0,6.7,0.5,0.71,0.74,0.32,0.291,0.329,0.325,0.312,0.343,0.451,0.455,0.507,0.462,0.376,0.392,0.417,0.403,0.42,0.385,0.411,0.53,0.545,0.531,0.534,0.385,0.353,0.414
308,6,1,0.3,0.6,0.29,0.78,0.453,0.427,0.463,0.457,0.442,0.453,0.699,0.643,0.666,0.679,0.584,0.535,0.567,0.527,0.564,0.548,0.534,0.709,0.741,0.7,0.728,0.506,0.475,0.515
309,7,1,6.2,3.8,0.77,0.83,0.306,0.261,0.308,0.266,0.27,0.27,0.447,0.396,0.419,0.426,0.361,0.4,0.359,0.379,0.346,0.307,0.371,0.435,0.494,0.436,0.443,0.331,0.275,0.331
310,1,0,5.8,0.9,0.82,0.57,0.475,0.473,0.463,0.49,0.457,0.468,0.748,0.729,0.715,0.76,0.563,0.586,0.607,0.593,0.575,0.575,0.607,0.769,0.715,0.746,0.742,0.557,0.523,0.536
311,2,0,2.9,1.6,0.46,0.82,0.463,0.46,0.415,0.451,0.468,0.482,0.655,0.656,0.726,0.684,0.549,0.6,0.562,0.583,0.609,0.628,0.599,0.727,0.755,0.778,0.753,0.497,0.557,0.541
312,3,0,3.3,0.2,0.33,0.68,0.301,0.344,0.332,0.339,0.352,0.334,0.541,0.513,0.554,0.515,0.46,0.434,0.434,0.425,0.412,0.46,0.398,0.539,0.54,0.561,0.577,0.376,0.364,0.417
313,4,0,7.4,2.3,0.39,0.8,0.457,0.425,0.437,0.439,0.444,0.44,0.669,0.657,0.68,0.645,0.544,0.586,0.541,0.534,0.541,0.568,0.564,0.724,0.712,0.732,0.725,0.483,0.484,0.47
314,5,0,4.9,0.0,0.61,0.63,0.523,0.476,0.43,0.438,0.506,0.482,0.72,0.711,0.72,0.664,0.564,0.598,0.582,0.583,0.546,0.564,0.558,0.784,0.728,0.732,0.773,0.501,0.505,0.499
315,6,1,6.6,4.2,0.61,0.73,0.399,0.385,0.391,0.364,0.364,0.382,0.609,0.553,0.591,0.589,0.487,0.463,0.496,0.484,0.518,0.487,0.486,0.601,0.602,0.655,0.615,0.43,0.427,0.412
316,7,1,1.8,0.9,0.47,0.66,0.345,0.335,0.32,0.363,0.32,0.333,0.507,0.484,0.519,0.517,0.403,0.416,0.39,0.369,0.429,0.436,0.393,0.539,0.544,0.53,0.53,0.372,0.368,0.376
317,1,0,5.2,3.9,0.42,0.68,0.398,0.399,0.379,0.39,0.405,0.385,0.592,0.598,0.624,0.604,0.475,0.45,0.471,0.497,0.516,0.539,0.489,0.66,0.641,0.626,0.621,0.435,0.488,0.422
318,2,0,4.8,0.6,0.54,0.64,0.264,0.268,0.216,0.294,0.269,0.214,0.37,0.391,0.371,0.395,0.339,0.334,0.317,0.313,0.353,0.29,0.309,0.415,0.434,0.428,0.435,0.297,0.28,0.289
319,3,0,2.8,0.2,0.68,0.53,0.38,0.391,0.384,0.342,0.347,0.396,0.531,0.534,0.552,0.551,0.458,0.445,0.448,0.502,0.424,0.426,0.483,0.57,0.614,0.59,0.565,0.351,0.418,0.378
320,4,0,2.3,2.2,0.62,0.87,0.237,0.267,0.23,0.284,0.243,0.229,0.372,0.413,0.384,0.39,0.343,0.307,0.306,0.345,0.376,0.346,0.311,0.446,0.439,0.458,0.434,0.294,0.309,0.275
321,5,0,2.0,1.6,0.51,0.76,0.436,0.433,0.399,0.441,0.429,0.436,0.633,0.604,0.669,0.629,0.545,0.519,0.548,0.525,0.528,0.54,0.477,0.715,0.659,0.715,0.679,0.479,0.487,0.517
322,6,1,-0.4,0.3,0.27,0.58,0.365,0.325,0.329,0.358,0.343,0.336,0.515,0.496,0.535,0.518,0.404,0.396,0.456,0.436,0.453,0.43,0.434,0.535,0.562,0.583,0.571,0.423,0.402,0.407
323,7,1,3.5,1.9,0.73,0.88,0.356,0.412,0.391,0.394,0.321,0.378,0.533,0.548,0.526,0.557,0.464,0.47,0.485,0.451,0.485,0.449,0.497,0.597,0.569,0.61,0.58,0.405,0.394,0.4
324,1,0,2.7,0.1,0.37,0.65,0.327,0.364,0.338,0.338,0.337,0.362,0.534,0.538,0.555,0.515,0.482,0.463,0.434,0.436,0.463,0.443,0.467,0.545,0.594,0.565,0.59,0.4,0.405,0.417
325,2,0,4.4,1.3,0.04,0.64,0.332,0.374,0.304,0.299,0.364,0.343,0.514,0.491,0.468,0.5,0.389,0.484,0.402,0.457,0.45,0.438,0.42,0.55,0.549,0.582,0.536,0.38,0.396,0.346
326,3,0,5.3,0.6,0.89,0.67,0.258,0.258,0.271,0.26,0.253,0.236,0.386,0.376,0.389,0.406,0.336,0.325,0.358,0.313,0.342,0.285,0.313,0.449,0.444,0.404,0.467,0.278,0.308,0.323
327,4,0,2.8,1.3,0.57,0.69,0.4,0.412,0.446,0.437,0.435,0.4,0.637,0.636,0.624,0.602,0.525,0.531,0.508,0.539,0.535,0.535,0.527,0.666,0.695,0.648,0.719,0.495,0.471,0.495
328,5,0,5.9,2.3,0.44,0.47,0.438,0.463,0.459,0.476,0.46,0.472,0.708,0.704,0.669,0.687,0.555,0.558,0.584,0.552,0.572,0.589,0.577,0.74,0.742,0.745,0.74,0.528,0.527,0.507
329,6,1,2.2,0.2,0.37,0.81,0.486,0.475,0.493,0.461,0.465,0.504,0.719,0.721,0.686,0.706,0.584,0.613,0.59,0.599,0.61,0.601,0.645,0.812,0.759,0.766,0.758,0.532,0.51,0.564
330,7,1,1.8,0.5,0.43,0.59,0.39,0.402,0.416,0.414,0.418,0.43,0.666,0.663,0.658,0.658,0.534,0.557,0.524,0.502,0.535,0.531,0.55,0.731,0.743,0.717,0.751,0.465,0.494,0.474
331,1,0,0.5,0.4,0.58,0.77,0.255,0.282,0.262,0.291,0.266,0.31,0.388,0.383,0.385,0.376,0.348,0.33,0.34,0.321,0.324,0.311,0.321,0.429,0.436,0.426,0.444,0.291,0.3,0.31
332,2,0,0.8,0.6,0.14,0.69,0.231,0.267,0.239,0.235,0.24,0.256,0.344,0.39,0.352,0.391,0.316,0.318,0.32,0.304,0.305,0.316,0.29,0.429,0.431,0.421,0.404,0.262,0.285,0.324
333,3,0,3.7,4.2,0.49,0.55,0.356,0.376,0.366,0.35,0.351,0.324,0.514,0.54,0.528,0.546,0.444,0.433,0.456,0.466,0.44,0.428,0.432,0.583,0.602,0.603,0.566,0.43,0.398,0.401
334,4,0,1.0,0.0,0.14,0.66,0.282,0.319,0.295,0.301,0.299,0.32,0.448,0.455,0.469,0.458,0.402,0.386,0.382,0.39,0.342,0.392,0.403,0.511,0.539,0.472,0.485,0.348,0.314,0.29
335,5,0,3.8,0.1,0.54,0.63,0.363,0.366,0.326,0.341,0.355,0.4,0.509,0.543,0.552,0.535,0.452,0.487,0.445,0.474,0.431,0.442,0.474,0.59,0.607,0.56,0.598,0.429,0.395,0.411
336,6,1,2.1,0.1,0.35,0.68,0.364,0.368,0.341,0.374,0.368,0.363,0.571,0.564,0.541,0.534,0.488,0.482,0.469,0.413,0.467,0.474,0.453,0.565,0.581,0.603,0.63,0.42,0.416,0.359
337,7,1,5.0,0.3,0.93,0.64,0.297,0.31,0.307,0.277,0.289,0.311,0.446,0.452,0.449,0.459,0.362,0.407,0.399,0.37,0.399,0.359,0.395,0.516,0.521,0.47,0.503,0.362,0.364,0.327
338,1,0,-0.7,0.8,0.52,0.74,0.234,0.259,0.241,0.212,0.245,0.23,0.334,0.361,0.326,0.359,0.323,0.32,0.31,0.29,0.325,0.333,0.285,0.4,0.394,0.417,0.416,0.244,0.276,0.273
339,2,0,2.6,0.8,0.29,0.65,0.377,0.394,0.392,0.409,0.372,0.422,0.644,0.592,0.57,0.586,0.459,0.519,0.539,0.466,0.513,0.515,0.507,0.653,0.632,0.643,0.67,0.423,0.454,0.455
340,3,0,-2.1,0.2,0.26,0.56,0.325,0.338,0.314,0.331,0.336,0.31,0.494,0.508,0.511,0.495,0.442,0.458,0.453,0.386,0.432,0.424,0.415,0.559,0.568,0.565,0.529,0.375,0.353,0.373
341,4,0,1.0,1.2,0.71,0.76,0.416,0.386,0.396,0.411,0.396,0.389,0.621,0.593,0.581,0.6,0.485,0.501,0.496,0.465,0.483,0.514,0.49,0.654,0.655,0.633,0.645,0.434,0.435,0.433
342,5,0,-1.4,0.7,0.05,0.74,0.443,0.422,0.428,0.408,0.436,0.431,0.654,0.647,0.644,0.66,0.511,0.491,0.54,0.55,0.525,0.524,0.54,0.663,0.734,0.744,0.722,0.505,0.49,0.476
343,6,1,-1.3,0.3,0.44,0.86,0.502,0.49,0.48,0.469,0.496,0.463,0.731,0.709,0.72,0.697,0.596,0.576,0.607,0.599,0.584,0.59,0.592,0.759,0.76,0.805,0.794,0.528,0.587,0.504
344,7,1,1.1,0.3,0.33,0.83,0.354,0.384,0.36,0.385,0.388,0.36,0.568,0.599,0.588,0.585,0.441,0.481,0.456,0.487,0.513,0.487,0.495,0.618,0.632,0.666,0.602,0.452,0.447,0.422
345,1,0,0.9,4.1,0.51,0.85,0.401,0.432,0.457,0.446,0.444,0.433,0.631,0.669,0.671,0.66,0.571,0.536,0.547,0.58,0.578,0.519,0.539,0.682,0.736,0.703,0.725,0.488,0.497,0.494
346,2,0,0.7,1.9,0.62,0.64,0.403,0.448,0.422,0.44,0.427,0.425,0.604,0.672,0.642,0.615,0.518,0.532,0.551,0.517,0.5,0.565,0.536,0.666,0.654,0.681,0.672,0.485,0.492,0.506
347,3,0,1.4,0.3,0.35,0.72,0.47,0.484,0.466,0.464,0.476,0.444,0.683,0.756,0.732,0.701,0.562,0.568,0.606,0.603,0.581,0.598,0.595,0.746,0.775,0.81,0.769,0.525,0.499,0.561
348,4,0,-0.5,2.6,0.44,0.7,0.376,0.378,0.353,0.37,0.358,0.407,0.546,0.596,0.5,0.558,0.467,0.481,0.496,0.483,0.484,0.43,0.435,0.594,0.615,0.608,0.639,0.428,0.424,0.402
349,5,0,2.1,0.4,0.38,0.82,0.419,0.413,0.392,0.415,0.406,0.452,0.577,0.604,0.61,0.591,0.473,0.543,0.465,0.547,0.496,0.499,0.492,0.651,0.634,0.637,0.626,0.443,0.395,0.419
350,6,1,0.3,1.3,0.73,0.42,0.325,0.284,0.331,0.3,0.298,0.298,0.47,0.457,0.416,0.477,0.39,0.388,0.386,0.389,0.38,0.366,0.367,0.536,0.519,0.527,0.479,0.338,0.377,0.353
351,7,1,3.8,2.9,0.22,0.68,0.407,0.372,0.349,0.35,0.405,0.346,0.556,0.539,0.539,0.562,0.461,0.466,0.436,0.465,0.457,0.465,0.467,0.6,0.62,0.615,0.6,0.419,0.427,0.402
352,1,0,0.6,1.6,0.68,0.78,0.443,0.424,0.424,0.424,0.395,0.399,0.651,0.647,0.646,0.669,0.53,0.52,0.524,0.547,0.538,0.538,0.526,0.744,0.704,0.698,0.677,0.47,0.501,0.485
353,2,0,-1.1,0.3,0.46,0.66,0.485,0.456,0.491,0.45,0.451,0.474,0.709,0.713,0.728,0.678,0.61,0.597,0.572,0.545,0.575,0.612,0.549,0.797,0.744,0.752,0.733,0.541,0.546,0.543
354,3,0,-1.1,0.9,0.87,0.74,0.455,0.46,0.433,0.468,0.466,0.444,0.659,0.673,0.699,0.677,0.587,0.569,0.549,0.573,0.581,0.568,0.561,0.743,0.724,0.738,0.758,0.479,0.477,0.54
355,4,0,-1.7,1.6,0.23,0.79,0.446,0.409,0.448,0.412,0.407,0.437,0.668,0.647,0.66,0.646,0.51,0.535,0.564,0.524,0.54,0.508,0.538,0.733,0.738,0.682,0.724,0.504,0.463,0.504
356,5,0,0.7,0.2,0.71,0.76,0.364,0.285,0.32,0.309,0.338,0.316,0.459,0.472,0.456,0.498,0.398,0.391,0.387,0.394,0.405,0.359,0.381,0.563,0.463,0.507,0.556,0.349,0.375,0.356
357,6,1,-3.3,0.6,0.47,0.71,0.369,0.376,0.356,0.364,0.364,0.374,0.58,0.558,0.555,0.565,0.519,0.489,0.487,0.48,0.484,0.476,0.467,0.642,0.614,0.615,0.606,0.41,0.461,0.431
358,7,1,-0.7,0.5,0.34,0.81,0.23,0.265,0.242,0.269,0.255,0.237,0.351,0.373,0.385,0.397,0.287,0.301,0.289,0.278,0.302,0.304,0.297,0.44,0.4,0.391,0.386,0.27,0.283,0.24
359,1,0,1.0,0.8,0.5,0.71,0.231,0.288,0.234,0.228,0.265,0.235,0.366,0.366,0.329,0.378,0.32,0.288,0.327,0.303,0.332,0.318,0.337,0.432,0.402,0.395,0.419,0.304,0.287,0.338
360,2,0,-2.5,1.0,0.39,0.72,0.432,0.397,0.389,0.409,0.394,0.427,0.612,0.618,0.622,0.637,0.527,0.509,0.544,0.474,0.529,0.504,0.51,0.684,0.69,0.664,0.675,0.486,0.457,0.505
361,3,0,1.5,1.5,0.71,0.76,0.321,0.333,0.298,0.305,0.341,0.302,0.468,0.467,0.486,0.472,0.442,0.392,0.374,0.417,0.396,0.377,0.384,0.52,0.51,0.499,0.523,0.337,0.347,0.328
362,4,0,-0.8,2.8,0.58,0.53,0.399,0.364,0.389,0.391,0.373,0.392,0.548,0.577,0.569,0.501,0.468,0.459,0.455,0.465,0.443,0.459,0.498,0.645,0.63,0.583,0.578,0.397,0.443,0.432
363,5,0,1.2,0.2,0.87,0.59,0.475,0.47,0.478,0.428,0.466,0.465,0.694,0.691,0.696,0.68,0.61,0.558,0.56,0.561,0.564,0.548,0.566,0.765,0.724,0.731,0.74,0.535,0.518,0.516
364,6,1,0.6,3.6,0.68,0.81,0.318,0.335,0.357,0.37,0.33,0.41,0.538,0.54,0.562,0.56,0.441,0.446,0.447,0.416,0.471,0.437,0.437,0.556,0.576,0.531,0.587,0.406,0.405,0.444
365,7,1,0.9,0.6,0.51,0.79,0.445,0.415,0.45,0.45,0.453,0.45,0.6,0.603,0.651,0.632,0.56,0.546,0.587,0.564,0.51,0.547,0.519,0.72,0.718,0.717,0.744,0.475,0.451,0.457
1,1,0,-0.3,1.1,0.69,0.67,0.413,0.45,0.464,0.431,0.42,0.463,0.685,0.64,0.627,0.669,0.572,0.566,0.554,0.554,0.534,0.552,0.538,0.714,0.717,0.687,0.709,0.496,0.49,0.547
2,2,0,4.1,0.5,0.57,0.71,0.394,0.396,0.42,0.393,0.409,0.402,0.604,0.627,0.651,0.599,0.506,0.49,0.518,0.527,0.485,0.506,0.527,0.67,0.674,0.666,0.657,0.453,0.457,0.459
3,3,0,4.5,1.5,0.64,0.82,0.351,0.413,0.374,0.418,0.401,0.381,0.543,0.61,0.592,0.586,0.525,0.517,0.456,0.479,0.482,0.491,0.473,0.657,0.663,0.604,0.625,0.453,0.453,0.446
4,4,0,-1.2,2.2,0.59,0.6,0.357,0.338,0.385,0.321,0.349,0.338,0.512,0.565,0.567,0.565,0.448,0.501,0.46,0.488,0.476,0.46,0.488,0.624,0.579,0.608,0.611,0.372,0.388,0.413
5,5,0,-3.3,2.0,0.54,0.82,0.475,0.463,0.499,0.486,0.46,0.464,0.704,0.725,0.728,0.665,0.598,0.607,0.579,0.558,0.58,0.615,0.629,0.777,0.754,0.786,0.753,0.551,0.55,0.518
6,6,1,0.0,0.3,0.69,0.71,0.398,0.387,0.365,0.407,0.379,0.404,0.636,0.62,0.595,0.592,0.496,0.483,0.517,0.484,0.504,0.483,0.53,0.639,0.684,0.69,0.662,0.492,0.456,0.477
7,7,1,-1.4,1.0,0.45,0.72,0.395,0.43,0.395,0.417,0.379,0.398,0.681,0.66,0.6,0.614,0.523,0.51,0.512,0.511,0.52,0.512,0.504,0.658,0.661,0.643,0.695,0.494,0.475,0.472
8,1,0,-0.9,1.2,0.42,0.74,0.391,0.391,0.381,0.405,0.383,0.385,0.588,0.535,0.568,0.592,0.507,0.455,0.457,0.442,0.475,0.464,0.45,0.67,0.634,0.668,0.63,0.43,0.457,0.444
9,2,0,0.4,0.2,0.39,0.57,0.249,0.286,0.282,0.277,0.249,0.287,0.421,0.387,0.366,0.397,0.321,0.337,0.302,0.32,0.321,0.311,0.372,0.468,0.44,0.432,0.416,0.32,0.282,0.312
10,3,0,-1.0,0.4,0.68,0.4,0.439,0.445,0.462,0.43,0.413,0.451,0.621,0.64,0.639,0.676,0.549,0.54,0.541,0.554,0.537,0.561,0.503,0.671,0.721,0.695,0.705,0.511,0.529,0.494
11,4,0,1.6,3.5,0.23,0.78,0.301,0.289,0.313,0.308,0.306,0.32,0.498,0.483,0.475,0.473,0.366,0.397,0.404,0.371,0.387,0.342,0.394,0.447,0.493,0.468,0.486,0.331,0.32,0.326
12,5,0,-2.8,1.4,0.7,0.87,0.386,0.324,0.374,0.37,0.333,0.372,0.533,0.534,0.49,0.51,0.409,0.426,0.441,0.455,0.457,0.408,0.444,0.561,0.596,0.565,0.553,0.377,0.413,0.388
13,6,1,-1.9,0.5,0.83,0.8,0.394,0.441,0.416,0.426,0.404,0.414,0.634,0.633,0.653,0.598,0.553,0.529,0.531,0.544,0.534,0.486,0.513,0.638,0.676,0.648,0.66,0.482,0.487,0.436
14,7,1,2.1,0.5,0.41,0.76,0.419,0.379,0.429,0.399,0.379,0.401,0.585,0.645,0.612,0.624,0.55,0.549,0.521,0.529,0.494,0.528,0.556,0.655,0.687,0.678,0.644,0.424,0.483,0.402
15,1,0,-2.9,0.1,0.44,0.77,0.245,0.249,0.234,0.244,0.228,0.218,0.34,0.378,0.381,0.323,0.319,0.286,0.314,0.319,0.27,0.291,0.295,0.375,0.378,0.43,0.386,0.233,0.262,0.276
16,2,0,1.3,1.2,0.36,0.65,0.385,0.306,0.39,0.378,0.381,0.347,0.543,0.522,0.561,0.53,0.483,0.453,0.479,0.449,0.435,0.454,0.433,0.571,0.578,0.615,0.601,0.415,0.382,0.407
17,3,0,-1.7,0.4,0.47,0.82,0.476,0.458,0.465,0.472,0.537,0.513,0.728,0.701,0.755,0.693,0.636,0.59,0.573,0.561,0.604,0.578,0.617,0.734,0.781,0.756,0.779,0.556,0.528,0.517
18,4,0,1.1,1.0,0.32,0.66,0.291,0.327,0.313,0.299,0.295,0.345,0.497,0.433,0.465,0.479,0.408,0.376,0.387,0.378,0.408,0.405,0.399,0.525,0.519,0.496,0.537,0.375,0.364,0.363
19,5,0,0.6,0.8,0.51,0.79,0.227,0.275,0.258,0.21,0.256,0.24,0.39,0.34,0.37,0.362,0.308,0.312,0.357,0.296,0.305,0.277,0.297,0.37,0.387,0.415,0.395,0.273,0.263,0.243
20,6,1,-0.5,1.2,0.61,0.67,0.326,0.323,0.334,0.373,0.351,0.371,0.511,0.53,0.49,0.507,0.402,0.387,0.42,0.399,0.408,0.377,0.409,0.568,0.518,0.508,0.542,0.38,0.349,0.389
21,7,1,2.7,0.9,0.27,0.6,0.414,0.432,0.458,0.438,0.443,0.414,0.64,0.676,0.651,0.659,0.55,0.56,0.535,0.522,0.546,0.596,0.56,0.76,0.706,0.721,0.729,0.511,0.489,0.515
22,1,0,-0.0,1.7,0.37,0.69,0.29,0.258,0.278,0.304,0.305,0.323,0.458,0.441,0.471,0.41,0.415,0.386,0.394,0.363,0.379,0.39,0.339,0.482,0.492,0.476,0.529,0.34,0.35,0.339
23,2,0,2.6,0.1,0.43,0.76,0.369,0.388,0.335,0.408,0.401,0.354,0.579,0.592,0.584,0.645,0.492,0.53,0.482,0.538,0.504,0.475,0.487,0.619,0.658,0.647,0.637,0.451,0.469,0.42
24,3,0,2.5,1.7,0.45,0.54,0.261,0.269,0.277,0.224,0.264,0.269,0.379,0.381,0.392,0.373,0.314,0.308,0.342,0.359,0.356,0.32,0.288,0.414,0.414,0.42,0.45,0.272,0.317,0.317
25,4,0,2.6,0.1,0.27,0.7,0.3,0.336,0.312,0.288,0.31,0.301,0.469,0.47,0.462,0.474,0.437,0.389,0.389,0.414,0.407,0.366,0.378,0.501,0.519,0.512,0.493,0.359,0.326,0.292
26,5,0,1.1,2.5,0.68,0.82,0.29,0.276,0.291,0.273,0.308,0.315,0.427,0.423,0.432,0.445,0.323,0.363,0.343,0.409,0.385,0.348,0.367,0.503,0.482,0.466,0.459,0.327,0.317,0.326
27,6,1,-0.6,1.2,0.63,0.72,0.348,0.36,0.366,0.339,0.318,0.339,0.509,0.497,0.488,0.542,0.474,0.424,0.43,0.43,0.417,0.471,0.438,0.555,0.564,0.532,0.524,0.392,0.415,0.427
28,7,1,-0.1,0.2,0.74,0.84,0.334,0.329,0.321,0.328,0.321,0.368,0.489,0.493,0.509,0.503,0.412,0.44,0.422,0.429,0.395,0.393,0.411,0.542,0.498,0.556,0.51,0.357,0.361,0.397
29,1,0,1.5,1.9,0.74,0.78,0.336,0.327,0.322,0.35,0.33,0.349,0.505,0.522,0.514,0.483,0.421,0.438,0.407,0.422,0.428,0.446,0.418,0.557,0.537,0.587,0.524,0.385,0.394,0.405
30,2,0,3.3,0.4,0.85,0.75,0.331,0.31,0.333,0.318,0.365,0.337,0.523,0.52,0.499,0.504,0.393,0.432,0.41,0.391,0.387,0.39,0.42,0.535,0.547,0.539,0.576,0.412,0.388,0.373
31,3,0,3.4,0.2,0.62,0.76,0.42,0.412,0.451,0.43,0.445,0.439,0.654,0.64,0.665,0.629,0.547,0.534,0.499,0.527,0.573,0.55,0.523,0.709,0.706,0.721,0.727,0.482,0.477,0.488
32,4,0,2.1,0.5,0.6,0.67,0.326,0.306,0.331,0.349,0.329,0.324,0.476,0.501,0.456,0.484,0.387,0.403,0.414,0.406,0.369,0.429,0.421,0.508,0.518,0.514,0.526,0.354,0.377,0.381
33,5,0,0.5,0.2,0.21,0.87,0.474,0.479,0.469,0.464,0.453,0.433,0.711,0.672,0.674,0.708,0.58,0.551,0.536,0.556,0.547,0.568,0.497,0.713,0.754,0.716,0.706,0.501,0.511,0.49
34,6,1,1.7,2.4,0.48,0.82,0.388,0.374,0.409,0.375,0.419,0.383,0.584,0.579,0.593,0.569,0.502,0.502,0.467,0.484,0.462,0.454,0.489,0.643,0.609,0.622,0.622,0.458,0.426,0.443
35,7,1,1.7,0.1,0.24,0.62,0.257,0.247,0.236,0.26,0.296,0.259,0.357,0.37,0.39,0.401,0.338,0.331,0.309,0.303,0.329,0.318,0.296,0.415,0.425,0.41,0.446,0.301,0.258,0.31
36,1,0,4.5,0.8,0.72,0.59,0.334,0.351,0.339,0.315,0.313,0.307,0.524,0.522,0.486,0.5,0.451,0.406,0.417,0.442,0.413,0.445,0.424,0.553,0.548,0.516,0.526,0.385,0.366,0.386
37,2,0,0.6,0.3,0.26,0.69,0.31,0.339,0.286,0.303,0.292,0.273,0.459,0.469,0.457,0.469,0.36,0.399,0.392,0.36,0.326,0.375,0.359,0.514,0.521,0.477,0.496,0.314,0.377,0.344
38,3,0,1.0,0.4,0.46,0.54,0.236,0.243,0.268,0.241,0.223,0.249,0.373,0.391,0.378,0.364,0.343,0.292,0.298,0.287,0.317,0.285,0.309,0.381,0.444,0.409,0.408,0.275,0.259,0.294
39,4,0,0.0,0.8,0.07,0.79,0.207,0.23,0.288,0.292,0.273,0.24,0.386,0.421,0.353,0.356,0.316,0.313,0.33,0.343,0.323,0.31,0.352,0.393,0.42,0.388,0.449,0.323,0.276,0.236
40,5,0,0.4,1.7,0.43,0.71,0.487,0.454,0.424,0.43,0.42,0.464,0.677,0.683,0.685,0.706,0.569,0.567,0.579,0.596,0.571,0.555,0.585,0.744,0.761,0.732,0.712,0.482,0.532,0.507
41,6,1,4.6,0.3,0.64,0.58,0.427,0.377,0.398,0.413,0.407,0.362,0.603,0.615,0.611,0.594,0.479,0.499,0.501,0.479,0.51,0.493,0.475,0.655,0.662,0.632,0.659,0.438,0.464,0.446
42,7,1,1.3,0.9,0.39,0.74,0.471,0.497,0.463,0.468,0.483,0.467,0.684,0.699,0.68,0.697,0.542,0.562,0.546,0.594,0.605,0.622,0.594,0.756,0.735,0.738,0.73,0.516,0.511,0.525
43,1,0,6.4,0.2,0.47,0.72,0.328,0.31,0.303,0.281,0.344,0.302,0.441,0.428,0.44,0.425,0.365,0.346,0.387,0.375,0.342,0.387,0.347,0.46,0.46,0.485,0.492,0.324,0.367,0.357
44,2,0,4.5,0.5,0.38,0.89,0.335,0.321,0.333,0.32,0.39,0.334,0.486,0.537,0.501,0.522,0.43,0.442,0.435,0.432,0.403,0.448,0.425,0.545,0.583,0.548,0.564,0.376,0.39,0.4
45,3,0,2.8,0.2,0.54,0.69,0.486,0.47,0.465,0.44,0.438,0.471,0.701,0.729,0.685,0.719,0.616,0.594,0.597,0.584,0.566,0.588,0.61,0.738,0.748,0.751,0.806,0.511,0.48,0.538
46,4,0,0.5,2.4,0.76,0.64,0.388,0.375,0.399,0.368,0.388,0.384,0.564,0.596,0.552,0.601,0.492,0.49,0.48,0.522,0.472,0.447,0.442,0.636,0.623,0.617,0.616,0.479,0.412,0.443
47,5,0,5.9,0.4,0.44,0.53,0.451,0.424,0.4,0.433,0.407,0.424,0.653,0.647,0.646,0.636,0.555,0.546,0.582,0.558,0.579,0.561,0.592,0.695,0.705,0.664,0.726,0.502,0.512,0.45
48,6,1,5.2,1.2,0.53,0.64,0.374,0.376,0.401,0.403,0.395,0.405,0.553,0.536,0.525,0.572,0.478,0.504,0.451,0.49,0.467,0.474,0.461,0.603,0.634,0.584,0.598,0.421,0.417,0.412
49,7,1,2.2,0.6,0.52,0.65,0.397,0.422,0.387,0.431,0.405,0.445,0.629,0.616,0.563,0.623,0.511,0.509,0.461,0.478,0.462,0.487,0.476,0.596,0.661,0.613,0.643,0.455,0.465,0.475
50,1,0,5.6,0.9,0.43,0.82,0.338,0.336,0.314,0.346,0.365,0.355,0.552,0.584,0.496,0.553,0.451,0.445,0.424,0.428,0.408,0.469,0.453,0.577,0.581,0.561,0.587,0.39,0.4,0.369
51,2,0,4.0,0.1,0.79,0.72,0.262,0.258,0.259,0.229,0.262,0.255,0.354,0.377,0.367,0.368,0.318,0.282,0.306,0.312,0.292,0.33,0.346,0.382,0.399,0.415,0.386,0.281,0.269,0.264
52,3,0,8.8,1.0,0.38,0.69,0.276,0.247,0.281,0.239,0.229,0.199,0.38,0.347,0.385,0.4,0.317,0.3,0.304,0.285,0.288,0.339,0.291,0.393,0.416,0.379,0.396,0.277,0.267,0.276
53,4,0,3.9,0.5,0.2,0.74,0.335,0.342,0.306,0.352,0.352,0.309,0.463,0.511,0.477,0.468,0.439,0.415,0.388,0.43,0.437,0.455,0.4,0.526,0.537,0.546,0.528,0.36,0.344,0.369
